"","data","Leaguedivision","abbr","scasa","gcasa","gtras","stras"
"55","26/11/2018","English Premier League","E0","Burnley","1","2","Newcastle United"
"78","25/11/2018","English Premier League","E0","Bournemouth","1","2","Arsenal"
"79","25/11/2018","English Premier League","E0","Wolverhampton Wanderers","0","2","Huddersfield Town"
"172","24/11/2018","English Premier League","E0","Brighton and Hove Albion","1","1","Leicester City"
"173","24/11/2018","English Premier League","E0","Everton","1","0","Cardiff City"
"174","24/11/2018","English Premier League","E0","Fulham","3","2","Southampton"
"175","24/11/2018","English Premier League","E0","Manchester United","0","0","Crystal Palace"
"176","24/11/2018","English Premier League","E0","Watford","0","3","Liverpool"
"177","24/11/2018","English Premier League","E0","West Ham United","0","4","Manchester City"
"178","24/11/2018","English Premier League","E0","Tottenham Hotspur","3","1","Chelsea"
"504","11/11/2018","English Premier League","E0","Liverpool","2","0","Fulham"
"505","11/11/2018","English Premier League","E0","Chelsea","0","0","Everton"
"506","11/11/2018","English Premier League","E0","Arsenal","1","1","Wolverhampton Wanderers"
"507","11/11/2018","English Premier League","E0","Manchester City","3","1","Manchester United"
"591","10/11/2018","English Premier League","E0","Cardiff City","2","1","Brighton and Hove Albion"
"592","10/11/2018","English Premier League","E0","Huddersfield Town","1","1","West Ham United"
"593","10/11/2018","English Premier League","E0","Leicester City","0","0","Burnley"
"594","10/11/2018","English Premier League","E0","Newcastle United","2","1","Bournemouth"
"595","10/11/2018","English Premier League","E0","Southampton","1","1","Watford"
"596","10/11/2018","English Premier League","E0","Crystal Palace","0","1","Tottenham Hotspur"
"777","05/11/2018","English Premier League","E0","Huddersfield Town","1","0","Fulham"
"810","04/11/2018","English Premier League","E0","Manchester City","6","1","Southampton"
"811","04/11/2018","English Premier League","E0","Chelsea","3","1","Crystal Palace"
"899","03/11/2018","English Premier League","E0","Bournemouth","1","2","Manchester United"
"900","03/11/2018","English Premier League","E0","Cardiff City","0","1","Leicester City"
"901","03/11/2018","English Premier League","E0","Everton","3","1","Brighton and Hove Albion"
"902","03/11/2018","English Premier League","E0","Newcastle United","1","0","Watford"
"903","03/11/2018","English Premier League","E0","West Ham United","4","2","Burnley"
"904","03/11/2018","English Premier League","E0","Arsenal","1","1","Liverpool"
"905","03/11/2018","English Premier League","E0","Wolverhampton Wanderers","2","3","Tottenham Hotspur"
"1119","29/10/2018","English Premier League","E0","Tottenham Hotspur","0","1","Manchester City"
"1147","28/10/2018","English Premier League","E0","Burnley","0","4","Chelsea"
"1148","28/10/2018","English Premier League","E0","Crystal Palace","2","2","Arsenal"
"1149","28/10/2018","English Premier League","E0","Manchester United","2","1","verton"
"1242","27/10/2018","English Premier League","E0","Brighton and Hove Albion","1","0","Wolverhampton Wanderers"
"1243","27/10/2018","English Premier League","E0","Fulham","0","3","Bournemouth"
"1244","27/10/2018","English Premier League","E0","Liverpool","4","1","Cardiff City"
"1245","27/10/2018","English Premier League","E0","Southampton","0","0","Newcastle United"
"1246","27/10/2018","English Premier League","E0","Watford","3","0","Huddersfield Town"
"1247","27/10/2018","English Premier League","E0","Leicester City","1","1","West Ham United"
"1435","22/10/2018","English Premier League","E0","Arsenal","3","1","Leicester City"
"1466","21/10/2018","English Premier League","E0","Everton","2","0","Crystal Palace"
"1562","20/10/2018","English Premier League","E0","Chelsea","2","2","Manchester United"
"1563","20/10/2018","English Premier League","E0","Bournemouth","0","0","Southampton"
"1564","20/10/2018","English Premier League","E0","Cardiff City","4","2","Fulham"
"1565","20/10/2018","English Premier League","E0","Manchester City","5","0","Burnley"
"1566","20/10/2018","English Premier League","E0","Newcastle United","0","1","Brighton and Hove Albion"
"1567","20/10/2018","English Premier League","E0","West Ham United","0","1","Tottenham Hotspur"
"1568","20/10/2018","English Premier League","E0","Wolverhampton Wanderers","0","2","Watford"
"1569","20/10/2018","English Premier League","E0","Huddersfield Town","0","1","Liverpool"
"2157","30/09/2018","English Premier League","E0","Cardiff City","1","2","Burnley"
"2248","29/09/2018","English Premier League","E0","West Ham United","3","1","Manchester United"
"2249","29/09/2018","English Premier League","E0","Arsenal","2","0","Watford"
"2250","29/09/2018","English Premier League","E0","Everton","3","0","Fulham"
"2251","29/09/2018","English Premier League","E0","Huddersfield Town","0","2","Tottenham Hotspur"
"2252","29/09/2018","English Premier League","E0","Manchester City","2","0","Brighton and Hove Albion"
"2253","29/09/2018","English Premier League","E0","Newcastle United","0","2","Leicester City"
"2254","29/09/2018","English Premier League","E0","Wolverhampton Wanderers","2","0","Southampton"
"2255","29/09/2018","English Premier League","E0","Chelsea","1","1","Liverpool"
"2499","23/09/2018","English Premier League","E0","West Ham United","0","0","Chelsea"
"2500","23/09/2018","English Premier League","E0","Arsenal","2","0","Everton"
"2603","22/09/2018","English Premier League","E0","Fulham","1","1","Watford"
"2604","22/09/2018","English Premier League","E0","Burnley","4","0","Bournemouth"
"2605","22/09/2018","English Premier League","E0","Cardiff City","0","5","Manchester City"
"2606","22/09/2018","English Premier League","E0","Crystal Palace","0","0","Newcastle United"
"2607","22/09/2018","English Premier League","E0","Leicester City","3","1","Huddersfield Town"
"2608","22/09/2018","English Premier League","E0","Liverpool","3","0","Southampton"
"2609","22/09/2018","English Premier League","E0","Manchester United","1","1","Wolverhampton Wanderers"
"2610","22/09/2018","English Premier League","E0","Brighton and Hove Albion","1","2","Tottenham Hotspur"
"2791","17/09/2018","English Premier League","E0","Southampton","2","2","Brighton and Hove Albion"
"2818","16/09/2018","English Premier League","E0","Wolverhampton Wanderers","1","0","Burnley"
"2819","16/09/2018","English Premier League","E0","Everton","1","3","West Ham United"
"2906","15/09/2018","English Premier League","E0","Tottenham Hotspur","1","2","Liverpool"
"2907","15/09/2018","English Premier League","E0","Bournemouth","4","2","Leicester City"
"2908","15/09/2018","English Premier League","E0","Chelsea","4","1","Cardiff City"
"2909","15/09/2018","English Premier League","E0","Huddersfield Town","0","1","Crystal Palace"
"2910","15/09/2018","English Premier League","E0","Manchester City","3","0","Fulham"
"2911","15/09/2018","English Premier League","E0","Newcastle United","1","2","Arsenal"
"2912","15/09/2018","English Premier League","E0","Watford","1","2","Manchester United"
"3262","02/09/2018","English Premier League","E0","Cardiff City","2","3","Arsenal"
"3263","02/09/2018","English Premier League","E0","Burnley","0","2","Manchester United"
"3264","02/09/2018","English Premier League","E0","Watford","2","1","Tottenham Hotspur"
"3362","01/09/2018","English Premier League","E0","Leicester City","1","2","Liverpool"
"3363","01/09/2018","English Premier League","E0","Brighton and Hove Albion","2","2","Fulham"
"3364","01/09/2018","English Premier League","E0","Chelsea","2","0","Bournemouth"
